company,attendee_name,attendee_title
Johnson & Johnson,Rocco De Bernardis,Global President of OTTAVA™
Cardinal Health,Jerome Revish,Chief Technology Officer
symplr,Nicole Rogas,President
CareRev,Susan Pasley,VP of Clinical Solutions
Geisinger Health System,Rebecca Stametz,"Vice President, Digital Transformation Office, Steele Institute for Health Innovation"
Zocdoc,"Oliver Kharraz, MD",CEO & Founder
Children's Hospital Colorado,Kerri Webster,Chief Analytics Officer
SSM Health,Ann Cappellari,CMIO
Ciitizen,Deven McGraw,"Lead, Data Stewardship & Data Sharing"
CAQH,Sarah Ahmad,CEO
SHI,Andrea Daughtery,CIO
Mass General Brigham,Heather O'Sullivan,"President, Mass General Brigham Healthcare at Home"
K Health,Allon Bloch,Co-Founder & CEO
Christus Health,Stuart James,"Vice President, IS Chief Operations Officer"
Cedars-Sinai,Caroline Goldzweig,Chief Medical Officer
Bayesian Health,"Suchi Saria,","Founder & Chief Executive Officer, Bayesian Health and Director, AI & Healthcare, Johns Hopkins"
Alameda Alliance for Health,Richard Golfin III,"Chief Compliance Officer, Chief Privacy Officer"
Kaiser Permanente,Narayanan Gopala,Chief Digital Officer
Boston Children's Hospital,Clara Guixa,Deputy CIO
US Department of Veterans Affairs,Anne Bailey,Executive Director
Virtua Health,Tarun Kapoor,Chief Digital Transformation Office
Salesforce,"Fatima Paruk, MD, MPH",Chief Health Officer
The Leapfrog Group,Leah Binder,President & CEO
Quilted Health,Christine Henningsgaard,Co-Founder & Chief Executive Officer
U.S. Department of Health & Human Services,Elisabeth Myers,"Deputy Director, OPOL"
sesame,David Goldhill,Co-founder and CEO
Kaiser Permanente,Desiree Gandrup-Dupre,"Sr. Vice President, Care Delivery Technology Services"
The University of Alabama,Elise Sweeney Anthony,Executive Director of Policy
AdventHealth,Vickie White,Senior Vice President and Chief Brand an
kyndryl,Beverly Bell,"Sr Partner, HCLS Business Leader"
knownwell,Angela Fitch,Chief Medical Officer
Cleveland Clinic,Jarrod Dalton,Director of Cleveland Clinic’s Center for Populations Health Research
Best Buy Health,Deborah DiSanzo,President
Mayo Clinic,Maneesh Goyal,"COO, Mayo Clinic Platform"
Tampa General Hospital,Scott Arnold,Executive Vice President / CIO
Evernorth Health Services,Eva Borden,"President, Behavioral Health"
Metro Health,Adam Perzynski,Professor of Medicine in the Center for Health Care Research and Polic
University of Miami - Miller School of Medicine,Azizi Seixas,"Assistant Professor, Director of The Media and Innovation Lab"
Amazon Web Services,Ashwini Davison,Healthcare Executive Advisor
MultiCare Health System,Bradd Busick,"SVP, Chief Information Officer"
Redesign Health,Neil Patel,Head of New Ventures
The Atlantic - Health,Sunil Dadlani,CIO
Forward,Adrian Aoun,Founder and CEO
Social Innovation Ventures,"Andrey Ostrovsky, MD, FAAP",Managing Partner
Providence Swedish Health Services,Nwando Anyaoku,Chief Health Equity Officer
ConcertoCare,Amy Flaster,"Vice President, Population Health Management and Care Management"
Amazon Pharmacy,Tanvi Patel,Director of Partner Services
Rock Health,Megan Zweig,COO
Mayo Clinic,Clark Otley,"Chief Medical Officer, Mayo Clinic Platform"
Atropos Health,"Brigham Hyde, PhD",CEO and Co-Founder
Epstein Becker Green,Karen Mandelbaum,Senior Counsel
Vida Health,Joe Murad,President & CEO
Aegis Ventures,John Beadle,Co-Founder & Managing Partner
Oracle Health,Rebecca Laborde,Lead Healthcare Strategist
Ochsner Health,Rachelle Longo,"AVP, Telemedicine"
Independence Blue Cross,"Rodrigo Cerdá, M.D., MPH","Senior Vice President, Health Services, and Chief Medical Officer"
Brooke Army Medical Center,Chani Cordero,CIO
Good Measures,Caroline Carney,VP Business Development and Account Services
Laudio,Russ Richmond,CEO and Co-Founder
Epic,Trevor Berceau,Software Developer
Intermountain Healthcare,JP Valin,Chief Clinical Officer
University of North Carolina at Chapel Hill,Scott Doak,Chief Human Resources Officer
Eli Lilly,Rich Carter,"Senior Vice President, Chief Digital Off"
Microsoft,Antoinette Thomas,Chief Experience Officer
DaVita,Amy Schuerman-Gen,Chief Medical Officer for Integrated Care Programs
Hackensack Meridian Health,Jose Azar,"EVP, Chief Quality Officer"
Amazon,"Vin Gupta, MD, MPA",Chief Medical Officer
Cedars Sinai Health System,Maureen Burgess,Partner
The Guthrie Clinic,Terri Couts RN MHA,Chief Digital Officer
Fred Hutch,Jim Kublin,"Principal Staff Scientist, Vaccine and Infectious Disease"
US Department of Veterans Affairs,Shereef Elnahal,Under Secretary for Health
Physicians of Southwest Washington,Tamra Ruymann,Chief of Digital Health
Cognizant,Scott Schell,Chief Medical Officer
Quantum Health,Zane Burke,CEO
MEDITECH,Helen Waters,Executive Vice President And COO
Hippocratic AI,Munjal Shah,Co-Founder and CEO
Oscar Health,Kiki Louis,President of Oscar Medical Group
HCA Healthcare,Marty Paslick,Senior Vice President and CIO
UMass Chan Medical School/UMass Memorial Health,Nancy Byatt,"Executive Director, Lifeline For Moms Program"
UC Davis Health,Melissa Jost,Director of Clinical Informatics
Amwell,Roy Schoenberg,President & CEO
OpenAI,Lane Dilg,"Head of Strategic Partnerships, Global Affairs"
GE HealthCare,Jeff Terry,"CEO, Command Center"
Faith Regional Health Services,Brian Sterud,Chief Information Officer
Northwell Health,Rebecca Kaul,SVP Chief Digital Innovation and Transformation
CommonSpirit Health,Daniel Barchi,Senior EVP and Chief Information Officer
Florida Blue,Lee Bowers,"President, Medicare"
McDermott Will & Emery,Jennifer Geetter,Partner
GoodRx,Dorothy Gemmell,Chief Commercial Officer
Oracle Health,Mike Sicilia,"EVP, Oracle Industries"
Intuitive Surgical,"Gretchen Purcell Jackson, MD, PhD, FACS, FACMI, FAMIA","Vice President, Scientific Medical Officer, Digital"
Day One Strategy - Digital Advisory,Reena Sooch,Partner
Tampa General Hospital,John Couris,CEO
Included Health,Ami Parekh,Chief Medical Officer
self,Jessica Beegle,Chief Innovation Officer
Oncology Care Partners,"Chevon Rariy, MD","Chief Health Officer & SVP, Digital Health, Oncology Care Partners"
Baptist Health,Aaron Miri,CIO
RhythmX AI,Deepthi Bathina,CEO and founder
The Permanente Federation,Nancy Gin,"Executive Vice President, Quality and Chief Quality Officer"
Emanate Health System,Daniel Nash,Chief Information Officer
National Quality Forum,Elizabeth Drye,Chief Scientific Officer
New Enterprise Associates,Blake Wu,Partner
Abridge,"Shiv Rao,",CEO and Co-Founder
AppliedVR,Matthew Stoudt,Co-founder and CEO
Baptist Health,Jhaimy Fernandez,Digital Health Equity Lead
Microsoft,Harjinder Sandhu,"CTO, Health and Life Sciences Platforms"
Cincinnati Children's Hospital Medical Center,Ryan Moore,"Director, Cincinnati Children’s Digital"
Highmark Health,Richard Clarke,Chief Analytics Officer
Florida Blue/GuideWell,Kelli Tice,VP Med Affrs&Chief Health Eqty
Texas A&M Rural and Community Health Institute,Reyann Davis,Director Value-Based Care
Chartis,Tom Kiesau,Chief Innovation Officer
WebMD,John Whyte,Chief Medical Officer
Snowflake,Todd Crosslin,"Global Industry Principal, Healthcare & Life Sciences"
LifeBridge Health,Tressa Springmann,SVP & Chief Information & Digital Officer
Luminis Health,Saad Chaudhry,CDIO
Artera,Guillaume De Zwirek,Chief Executive Officer
Sentara Healthcare & Optima Health,Michael Kalishman,Innovation Lead for Sentara Health
Walgreens,Anita Patel,"VICE PRESIDENT, PHARMACY SERVICES DEVELOPMENT"
Norwest Venture Partners,Irem Rami,Principal
Waltz Health,Mark Thierer,CEO and Co-founder
Elation Health,Kyna Fong,CEO
Brave Health,Jay Taylor,SVP Corporate Strategy & Business Development
Solv Health,Heather Fernandez,Co-Founder & CEO
National Institute of Rural and Minority Health (NIRMH),Oralia Dominic,Founder and President
Sprinter Health,Max Cohen,CEO & Co-Founder
Blue Cross Blue Shield of Massachusetts,Sukanya Soderland,"Chief Strategy Officer, SVP Strategy, Innovation, Enterprise Data & Analytics, Consulting"
Northwell Health,Mark Sands,Associate Chief Medical Officer and Vice President Clinical Transformation and Improvement
Butterfly Network,"John Martin, M.D.",Chief Medical Officer
Cedar,Kinshuk Mishra,Chief Technology Officer
Centene Corporation,Alice Chen,Chief Health Officer
The Cigna Group Ventures,Jasmi Shah,Managing Director
Teladoc Health,Saranya Loehrer,Chief Health Equity Officer
LACMA,Jerry Abraham,chairman
ICONIQ Capital,Caroline Xie,General Partner
AVIA,Linda Finkel,CEO
Rock Health,Monique Smith,Director of Design and Innovation
Main Street Health,Amy Gleason,Chief Product Officer
American Hospital Association,Michelle Hood,Executive Vice President and Chief Operating Officer
Anthem Blue Cross,Les Ybarra,"President, CA Medicaid Health Plan"
Capstone,Grace Totman,Vice President
US Hunger,Rick Whitted,CEO
Peterson Center on Healthcare,Meg Barron,"Managing Director, Engagement & Outreach"
Insight Partners,Scott Barclay,Managing Director
UPMC Health Plan/UPMC Enterprises,Mary Beth Navarra-Sirio,"Vice President, Market Development"
Walmart,Kevin Host,SVP Walmart Health and Wellness Pharmacy
InterWell Health,"Carmen A. Peralta, MD, MAS",Chief Clinical Officer
Season Health,Josh Hix,CEO
Instacart,Sarah Mastrorocco,Vice President and General Manager of Health
Houston Methodist,Michelle Stansbury,VP Innovation and IT Applications
"Health Net, Inc.",Pooja Mittal,Chief Health Equity Officer
National Health IT Collaborative for the Underserved,Luis Belen,CEO
Children's Hospital of Orange County,Dr. Louis Ehwerhemuepha,"Director, Computational Research"
Independence Blue Cross,Ravi Chawla,VP & Chief Analytics Officer
Enlightening Results,Grace Cordovano,Board Certified Patient Advocate
Blue Cross Blue Shield Illinois,Krishna Ramachandran,Health Data Strategy and Enterprise Network Operations
McKesson Ventures,Michelle Snyder,Partner
Providence,"Maulin Shah,","VP Clinical Informatics & Engineering, Chief Medical Information Officer (CMIO)"
Ozarks Healthcare,Priscilla Frase,CMIO
Savvy Cooperative,Valencia Whitehead,PATIENT ADVOCATE
University of Utah Health,Victoria Tiase,"Strategic Director, Digital Health"
Amwell,Cynthia Horner,Chief Medical Officer
Huntington Health,Lori Morgan,President and Chief Executive Officer
UC Davis Health,Ashish Atreja,CIO/CDHO
MedCity News,Katie Adams,Senior Reporter
Health Tech Talk Show,Lisa Bari,Co-Host
healthsystemCIO.com,Anthony aguerra@healthsystemcio.com,Founder/Editor-in-Chief
Citeline,Marion Webb,Managing Editor
Johns Hopkins Medicine,Martin Makary,Writer
Talking HealthTech,Peter Birch,Founder & CEO
Health Tech Talk Show,Kat McDavitt,Host
HIMSS Media,Jessica Hagen,Executive Editor of MobiHealthNews
Blackdoctor.org,Jade Curtis,Executive Editor
Business of Primary Care,Alyssa McNally,Chief Editorial Officer
The Nursing Beat,Hannah Berns,Editor
HealthLeaders,Eric Wicklund,Senior Editor for Innovation and Technology
PreciseMDX,Justin Barnes,Host
healthsystemCIO.com,Kate Gamble,Managing Editor
Axios,Erin Brodwin,Health Tech Reporter
Marketscale,George Dockery,Journalist
Manifest/HealthTech,Jordan Scott,Editor
MedCity News,Walter Lim,Producer
Baxter,Tamara AL-Yassin,Editor in Chief
Marketscale,Ronnie Kelly,Video Journalist
Marketscale,David Kemp,Host
The New York Times,Eric Taub,Contributing Writer
Digital Health Wire,Jason Barry,Managing Editor
Caregiving Worldwide,Jordan Lung,Videographer
Inside Health Policy,Emma Beavins,Reporter
Morning Brew,Maia Anderson,Healthcare reporter
HDMgroup/Health Data Management,Fred Bazzoli,Editor in Chief
Forbes,Katie Jennings,Senior Writer
State of MedTech,Omar M. Khateeb,Podcast Host
Ask Nurse Alice,Alice Benjamin,Chief Content Creator / Host
UNKNOWN,April Moreno,Founder
Theator Inc.,David Kiderman,Director of Strategic Partnerships
Providence,Bradley Wegrzyn,Director of Technology
Lyric,Steve Ambrose,"Director, Marketing and Communications"
Wonder Sciences,Jose Munoz,Co-founder
Sonitor,Brian Bass,"Vice President, Enterprise Solutions"
PrinterLogic by Vasion,Bailee Miller,Systems Engineer
HiLabs,Neel Butala,Co-Founder
Particle Health,Pete Clayton,Account Executive
HiLabs,Monica Kohli,"Senior Manager, Growth and Strategy"
Digital Medicine Society,Colby Holliday,Director of Certification
SoftServe,Robert Fauver,"SVP, Segment Head"
CHG Healthcare,Zach Smith,Director I Business Development
KPMG,Kenny O'Neill,Partner
Path Mental Health,Gabe Diop,Co-founder
DexCare,Joshua Woodward,Vice President of Channel Partnerships Commercial
Sheppard Mullin LLP,Phil Kim,Partner
DexCare,Deepak Prabhaker,Senior Sales Engineer Commercial
Fullscript,Emily Rothwell,Director: Business Development & Ecosystem Partnerships
MentorMate,Josh Marquart,Chief Strategy Officer
DexCare,Tim Collins,Regional Sales Director
NTT DATA,"John Frownfelter, MD, FACP",Healthcare Industry Consulting Director
Human Capital,Daniel Kilimnik,Investment Principal
HCA Healthcare,Andy Draper,CIO
Dell Technologies,Connie Hebert,Healthcare CNO
Spectralink Corporation,stacey brooks,Account Executive - Healthcare
J.P. Morgan,Louis Tengel,Executive Director
Sheppard Mullin Richter & Hampton LLP,Carolyn Metnick,Partner
Celo,Ani Radountcheva,Head of Marketing
Sheppard Mullin LLP,Sara Shanti,Partner
LabCorp,Hestian Stoica,"Director, Payor Solutions"
Komodo Health,Eric Widen,"MSI Lead, Risk Bearing Entities"
Dell Technologies,George Morris,Global Healthcare CIO
Company Name (optional),Jacque Sokolov,Chairman
Google Cloud,Amy Waldron,Global Health Plan Solutions Leader
West Monroe,Tanya Sukhu,Partner
Waianae Coast Comp Health,Richard Bettini,President and CEO
CDW Healthcare,Cory Smith,Healthcare Strategist
PSG,Liza Konovalova,Vice President
Primary Record,Jamie Kramer,Chief Growth Officer
Blue Eagle Consulting,Meaghan Hamilton,Senior Consultant
Delfina,Senan Ebrahim,CEO
UST,Anand Nair,"VP, Healthcare"
Kaiser Permanente Santa Rosa,Yimdriuska Magan,Resident Physician
Phoenix Children's Hospital,Brian Meyer,"SVP, Chief Information Officer"
enGen,Collin Ebling,ETDP Associate
Nonin Medical,Collin Rueppell,Sr. Director of OEM Sales
Reveal HealthTech,Sanchit Mullick,CEO
Celo,Remy Church,Marketing Associate
CHG Healthcare,Matthew Brown,VP Telehealth
Dell,Janna Falvo,Healthcare Partner Alliance Manager
GS Lab | GAVS Technologies,Suman Mishra,Chief Technology Officer
F-Prime Capital Partners,Erica Lee,Investment Associate
broadcom,Michael Robinson,VP Healthcare
www.gavstech.com,Shruti Kapoor,Client Partner
www.gavstech.com,Dipty Desai,Associate Vice President Business Development
GS Lab | GAVS Technologies,Guru Bhoopala,Chief Business Officer
DexCare,Michael Schram,Vice President of Sales
MentorMate,Sarah Hoops,Senior Business Development Manager
MentorMate,Denny Royal,Chief Design Officer
DataArt,Jamie McCulloch,"VP, Client Solutions"
Thomas Jefferson University,David Nash,Founding Dean Emeritus
SeedtoB Capital,Maya Menon,Associate Partner
4medica,Gregory Church,President
PrinterLogic by Vasion,Jameson Jones,Account Executive
GE Healthcare,Jeff Caron,"GM, Patient Care Solutions- Digital"
4medica,"Oleg Bess, Md",CEO
A-LIGN,Shreesh Bhattarai,Director of HITRUST
Lead Edge Capital,Daniel Levy,Investor
Reveal HealthTech,Beth Wheeler,"Vice President, Enterprise Account Development"
MentorMate,Clint Rowles,"Vice President, Business Development"
CINQCARE,Donald Stroka,Senior Software Engineer
Dell,Kevin Crosby,"Healthcare Director, Americas"
First Trust Capital Partners,Billy Louiselle,Analyst
Tula Health,Tyler Mickelsen,Chief Revenue Officer
Manos Health,Elyse Heob,Strategy and Operations Lead
Decimal health,Saurabh Rane,Consultant
Microsoft,Tyler Bryson,Corporate Vice President
GCX Mounting,Scott Andras,Global VP of Commerical Operations
Tula Health,Annie Benefield,Director of Customer Engagement
"Privacy Analytics, Inc.",Brian Rasquinha,"Assoc. Director, Solutions Architecture"
TaskUs,Chris Seres,VP of Healthcare
Abbott,Christine Cavallaro,"Director, Public Affairs"
Sepire LLC,Jason Shudy,National Sales Director
Cynerio,Will Braxton,Account Executive
Artisight,Chris Heddon,Chief Product Officer
Extrico,Kevin Ledet,COO
Cedars-Sinai Health System,Michael Johns,Accelerator Associate
Cedar Pine,Dustin Wood,Associate
Oak HC/FT,Billy Deitch,Partner
Talli,Kyle Bond,President/Interim CEO
Cedars-Sinai,Mel Fathi,Associate
Ernst & Young (EY),Jaymee Lewis Desse,Smart Health Analytics Solution Leader
Talli,Keyla McClure,Chief of Staff
PwC,Robert Aaron,Director - Healthcare
DermTech,Brian Smith,"Director, Value-Based Care and Payer Contracting"
Oracle Health,Craig Safir,VP- Partnerships
ClosedLoop,Scott Davis,Chief Marketing Officer
Abridge,Laura Vang,Senior Product Manager
UnitedHealth Group,John Buresh,Senior Manager of Data Analytics
UPMC,Dan Tarpey,"Director, Digital Solutions"
Pingoo AI,Shayan Mashatian,Founder
Esplanade Ventures,Alexandre Nossovskoi,Principal
RF-SMART,Kevin Maestri,Partner Engagement Executive
Microsoft,Chandra Iyer,Principal Product Manager
Baylor Scott & White Health (Dallas,Keon Jones,Customer Journey Lead - Schedule
Dell,Romina Elias,Healthcare Field Director
Sidekick Health,Todd Peavey,VP Business Development
ClosedLoop,Vickie Rice,"Vice President, Customer Success"
Hone Health,Stuart Blitz,Co-Founder/COO
Infor,Bill Gault,West Region Executive
"Proofpoint, Inc",Susan Biddle,Healthcare Solutions Director
Techlogix,Kewan Khawaja,Co-CEO
CHG Healthcare,Rich Ndessokia,Business Development Executive
Surest,Carson Ralphs,Sr Data Analyst
ClosedLoop,Andrew Eye,CEO & Co-Founder
Hendricks Behavioral Hospital,Wendy Taylor,Director of Assessment and Referrals
Molina Healthcare,Andrew Wilson,AVP Medicaid Product Development
Path Forward IT,David Stewart,President
"Ministry of Economy and Industry, State of Israel",Sarah Benjamin,Ministry of Economy and Industry State of ISRAEL
Catalyst by Wellstar,Anna Edwards,Industry Research Analyst
Veterans Health Administration,Todd Burnett,Senior Consultant
THL,John Hwang,Associate
Piedmont Health Care,Jeff Lambert,"Vice President, Digital Business Solutions"
GS Lab | GAVS Technologies,Selvakumar Mathivanan,Senior Business Development Manager
Ernst & Young (EY),Kayla Horan,Manager
Athelo Health,Jessica Thurmond,Co-founder
Tiger Analytics,Alankar Desai,"AVP, Analytics Consulting"
Swift Medical,Rob Fraser,"VP, Clinical Innovation"
RICOH USA,Art Johnson,Region Client Executive
Ground Game Health,Sanjayakumar Kalashetti,VP- Product Management
Medecision,Mark Gee,Chief Revenue Officer
DrFirst,Thomas Lin,"SVP & GM, Backline"
Stanford Medicine Children's Health,Ilir Kullolli,"Director, Clinical Technology and Biomedical Engineering"
University of Texas Health System,Zain Kazmi,Chief Digital & Analytics Officer
Gov Juan F Luis Hospital and Medical Center,Greg Bryant,CIO
UC Health,Elizabeth Burke,Director of Innovation
UCI Health,Scott Joslyn,Chief Information Officer
Providence,Anand Patel,"Chairman of Radiology, Los Angeles South Bay"
Mayo Clinic,Freddy Terrazas Escamilla,Chief Strategist to Mayo Clinic Comprehensive Cancer Center
Virginia Hospital Center,Michael Mistretta,SVP & CIO
Mayo Clinic,Melissa Noel,"Director, Corporate Development"
Northeast Georgia Health System,Stuart Bracken,Principal
Saint Luke's Health System,Ravi Monga,Chief Information Security Officer
Sidecar Health,Nancy Wang,Head of Corporate Development & Partnerships
Independence Blue Cross,Meaghan Pope,Director of Corporate Development and Strategic Investing
Independence Blue Cross,Megan Snyder,Director of Corporate Development & Strategic Investing
GIA,Cathy Borst,CIO
UC Irvine,Deepti Pandita,CMIO
Next Level Urgent Care,Paulius Mui,Director of Clinical Innovation
Ballad Health,John Perez,"VP, Ballad Health; Managing Director, Ballad Ventures"
Brigham and Women's Hospital,Onyeka Otugo,Physician
Mayo Clinic,Andrew keimig.andrew@gmail.com,"Director, Outpatient Practice Transformation"
Franciscan Health System,Jon Copley,VP Innovation & Digital Technology
Tripler Army Medical Ctr,Oluwole Fadiya,Chief Medical Information Officer
The Royal Children's Hospital,Daryl Cheng,Chief Medical Informatics Officer / Digital Health Consultant
Indiana University Health,Cate Brady,Executive Director Innovation
Siskin Hospital,Matthew Gibson,President & CEO
AltaMed Health Services,Ray Lowe,SVP/CIO
Community Health Network,"Patrick McGill, MD","EVP, Chief Transformation Officer"
Optum,Kermit Jones,Medical Director
Stanford Medicine,Natalie Pageler,CMIO
UChicago Medicine,Hannah Levine,Executive Director Finance Program Management
Summa Health System,Swathi West,CISO
CBH,julia zhou,CIO
Geisinger Health System,Kim Chaundy,Associate Vice President
Clinical Care Medical Centers,"Jose David Suarez, MD",Chief Medical Officer
San Joaquin General Hospital,Joseph Izzo,Chief Medical Information Officer
Memorial Healthcare System,Humberto Quintanar,Chief Technology Officer
Valley Children,Kevin Shimamoto,VP & Advisor to CIO
UCLA Health,Scott Jahnke,Director Patient Flow Command Center
UCSF,david steuer,"Director, Digital Care Experience"
Tanner Medical Center,Bonnie Boles,CMIO
Northwestern Medicine,Hannah Koczka,Vice President
US Anesthesia Partners,Moeed Azam,"Innovation, lead"
Humana,Pooja Aysola,"Executive Physician, Office of Chief Medical Officer"
El Camino Health,Deb Muro,CIO
"Valley Health System (Holyoke, MA)",Joe Diver,Chief Information Officer
Mayo Clinic,Luqman Lawal,"Lead of Global expansion, Mayo Clinic Platform"
Epoq Laboratories,Maulik Purohit,"SVP, Chief Health Information Officer"
"AMG, A Professional Medical Corporation",Siddharth Shah,"VP, Operations"
Presbyterian Healthcare Services,Gisela Bartolome,CIO
Arrowhead Regional Medical Center,Matthew Swann,Director Information Technology
HCG Oncology,Manish Gupta,CIO
Carelon,David Pedra,Senior Director Strategy and Innovation
San Ysidro Health Center,Catia Daoud,Sr. Director Enterprise Information Systems
Dell Medical School at The University of Texas at Austin,Rick Peters,Chief Technology Innovation Officer
Brigham and Williams Hospital,Ronen Rozenblum,"Director, Unit for Innovative Healthcare Practice & Technology"
Ohio State Wexner Medical Center,Adam Turbett,"Director, Strategy &  Transformation"
UC Irvine Health,Ryan O'Connell,Associate Chief Medical Information Officer
Piedmont Health Care,Geoffrey Brown,VP & CIO
Humana,Gurbinder Singh,Interoperability Director
The Valley Health System,Andrada Mihaila,Digital Health Consultant
SCAN Health Plan,Saurin Mehta,Sr. IT Director
City of Hope,"Paul Fu, Jr.",VP/CMIO
This Week Health,Katherine Russell,Production Assistant
Immersive Medical,Devin Marble,Podcast Host
Endpoints News,Ngai Yeung,Health Tech Reporter
This Week Health,Jairus William,Producer
Endpoints News,Lydia Ramsey Pflanzer,Deputy Editor
The Miilk,Chang Hee Yoon,Journalist
LinkedIn,Beth Kutscher,Senior news editor
Outcomes Rocket Health,Saul Marquez,Founder
Xandar Kardian,Jonathan Lloyd,"Senior Director, Sales and Marketing"
Sphere,Allie Cheek,Event Marketing Manager
eVideon,Julie Bastien,"VP, Marketing"
"Beckman Coulter, Inc.",Cabrina McGinn,"Marketing Manager, CDS Solutions"
AiRISTA Flow,vince vince.grove@airista.com,VP Marketing
SmartSense by Digi,Abby Allison,Senior Marketing Events & Campaign Speci
Health Level Seven (HL7) International,Andrea Ribick,Director of Communications
Sparq,John Lenzen,CMO
ScriptSender,Kelsey McCrudden,Marketing Communications Specialist
Sparq,Patty Brown,Events Professional
AiRISTA Flow,Ahmad Sajadi,Sr. Director of Sales
Pixel Health,Teresa Troyano,Marketing Director
Insight links,Jake Fishman,Editor
Veradigm,Jay Scholes,"AVP, Sales"
Chartis,Angela Rivera,Market Leader & Cybersecurity Advisor
RingCentral,Shyanne Vargas,Event Programs and Campaign Manager
Verizon,Ned Chini,Sr Principal-Business Strategy
T-Mobile,Tarun Sheshraj,Managing Director
AssistIQ Technologies Inc.,Samira Khajehi,Head of Operations
Leeway,Basil Vetas,Founder
TelegraMD,Xavier Navarrete,Business Development
Propel,Ann Liu,Healthcare Partnerships
Meroka,Reza Sanaie,CTO
Ringer Sciences,Garrett Bond,Senior Director of Analytics
ALIGNMT AI,Andreea Bodnari,CEO
PurpleLab,Kevin Ryan,Head of Payer/Provider Sales
ScaleHealth,Leslie Evans,ScaleHealth Evangelist & Advisor
NextGen Healthcare,Richard Harrigan,Sales Executive
NextGen Healthcare,Sri Velamoor,"EVP, Chief Growth and Strategy Officer"
Digital Health Equity Ambassador Program,Cinthya Montoya,Ambassador
GCX Corporation,Menchie Cornelio,Marketing Specialist
Digital Health Equity Ambassador Program,Brianna Flores,Ambassador
Triple Tree,Brendan Arniel,Vice President
Laudio,Mike Vipond,"EVP, Sales"
NextGen Healthcare,Kevin Sigafoes,"Director, Solutions"
NextGen Healthcare,Cameron Fletcher,Sr. Product Manager
NextGen Healthcare,Jeff Mildon,Sr. Application Specialist
WillowTree,Patrick Higgins,"Partner & VP, Business Development"
UNKNOWN,Bimal Shah,Venture Partner
Upfront Healthcare Services,Carrie Kozlowski,COO & Co-Founder
SIC Venture Studio,Paul Grewal,Partner
3Cloud Solutions,James Hughes,Chief Cloud Strategist
Celo,Alex Rizzi,Account Executive
J2 Interactive,Jen Carter,"Executive Director, Marketing"
Oben Health,Peter Njongwe,Founder and CEO
UNKNOWN,Matt Hodges,VP of Marketing
Fabric Health,Jo Elieff,Communications
UNKNOWN,Vernetta Copeland,"Director, Event Partnerships"
HSI,Brittany Royal Killam,Director Business Development
Betr Health,Evelyn Kim,Growth Officer
Virtelligence,Amy Zielinski,Regional Director
Press Ganey,Darren Dworkin,President & COO
"Care3, Inc.",David Williams,Founder & CEO
VeeOne Health,Shaji Skaria MD,EVP of Clinical Solutions
Otsuka America Pharmaceuticals,desiree Priestley,"Executive Director, Patient Experience"
NCQA,Claire Mendelson,Senior Product Analyst
Salesforce,Jamila Trapps,PAM
Laudio,Joel Ray,Chief Clinical Advisor
Laudio,Vishal Mehta,Chief of Staff to the CEO
NACHC,Camila Silva,"Deputy Director, Innovation"
Amwell,John Jesser,GM Strategic Clients
The Simms/Mann Family Foundation,Rachel Barchie,Executive Director
Waterline Ventures,Robbie Greenglass,Managing Director
Bloomberg News,Brody Ford,Tech Journalist
Lyric.ai,Tawfiq Bajjali,"GM, Platform Solutions"
Triple Tree,Carmine Cafasso,Vice President
Amazon Web Services,Shirley Golen,Head of Public Sector Healthcare Marketing
Triple Tree,Dave Brownlie,Managing Director
Parlance,Scott D'Entremont,Chief Revenue Officer
Triple Tree,Ashish Varshneya,Managing Director
Salesforce,Abi Egan,Solutions Engineer
Salesforce,Joe Pulice,"Director, Product Marketing"
ScaleHealth,Jim Hickman,"Principal Consultant, Medicaid Advisor"
98point6 Technologies,David Minns,Regional VP
Salesforce,Ryan Stastny,"Product Manager, MuleSoft"
Wysa,Chaitali Sinha,Head of Clinical Development and Research
Wysa,Ramakant Vempati,Founder and President
GCX Corporation,Ryan Boland,"Vice President, Marketing & Product Development"
Salesforce,Haley Wiesman,HLS Payer Solutions Specialist
Salesforce,Kelsey Cahill,"Sr. Manager, Events"
Salesforce,Alexa Cushman,"Director, Product Marketing"
Amwell,Len Riloff,"VP Account Management, Sales"
Salesforce,Kevin Gorsline,Global Lead - PBM & Retail Health Advisory & Innovation
Salesforce,Quang Nguyen,Lead Solutions Engineer
Virtelligence,Irina Stafford,Account Manager
ModelOp,Dave Trier,VP Product
KPMG,Piyush Anand,Managing Director
HealthLX,Kelly Ross,CTO
Rula,Tiffany Bray,Vice President - Account Delivery
Ellison Institute of Technology,Ahmad Alkasir,Policy Lead
Plume,Jess Friesen,Snr Director Member Services
Talkdesk,Nick Mastora,Sales
HealthLeaders,Cathleen Lavelle,VP Sales
Digital Health Equity Ambassador Program,Coraly De Leon,Digital Health Equity Ambassador
Digital Health Equity Ambassador Program,Marlen Hernandez,Ambassador
USHV,Vera Stewart,Director of Assessment and Referrals
Keebler Health,Isaac Park,CEO
prehab physical therapy,arash maghsoodi,co-founder
UNKNOWN,Scott Weatherill,CIO
Care Advisors,Chris Grace,CEO
GeBBS Consulting,Anila Islay,Client Success Executive
Amwell,Andre Grujovski,Head of Integrated Marketing
